Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.420000,7.825000,7.400000,7.730000,0.421380,2463550
2000-01-04,7.800000,7.900000,7.410000,7.715000,0.420562,2202450
2000-01-05,7.525000,8.000000,7.415000,7.900000,0.430647,1585160
2000-01-06,7.800000,8.525000,7.800000,8.100000,0.441549,2703430
2000-01-07,8.195000,8.200000,7.905000,8.075000,0.440187,2362160
2000-01-10,8.290000,8.720000,8.250000,8.720000,0.475347,3741290
2000-01-11,8.800000,8.900000,8.025000,8.140000,0.443730,2350170
2000-01-12,8.170000,8.470000,8.135000,8.400000,0.457903,1207680
2000-01-13,8.400000,8.450000,8.100000,8.100000,0.441549,1498550
2000-01-14,8.150000,8.280000,8.000000,8.190000,0.446456,1569710
2000-01-17,8.350000,8.450000,8.155000,8.170000,0.445365,710970
2000-01-18,8.125000,8.125000,7.750000,7.900000,0.430647,733680
2000-01-19,7.800000,7.890000,7.605000,7.700000,0.419745,526920
2000-01-20,7.705000,7.750000,7.405000,7.415000,0.404209,596850
2000-01-21,7.400000,7.425000,7.250000,7.325000,0.399302,884820
2000-01-24,7.400000,7.500000,7.320000,7.500000,0.408842,631000
2000-01-25,7.405000,8.095000,7.350000,8.095000,0.441277,3775980
2000-01-26,null,null,null,null,null,null
2000-01-27,8.200000,8.500000,7.770000,7.800000,0.425196,1382810
2000-01-28,7.715000,8.300000,7.600000,8.190000,0.446456,1890990
2000-01-31,8.100000,8.490000,7.900000,8.195000,0.446728,1688280
2000-02-01,8.200000,8.290000,8.010000,8.140000,0.443730,504350
2000-02-02,8.200000,8.400000,7.900000,8.275000,0.451089,1030170
2000-02-03,8.395000,8.695000,7.870000,7.900000,0.430647,4509790
2000-02-04,7.950000,8.000000,7.500000,7.510000,0.409387,2439130
2000-02-07,7.700000,7.820000,7.600000,7.820000,0.426286,774860
2000-02-08,7.800000,8.050000,7.700000,8.035000,0.438006,1957800
2000-02-09,8.095000,8.100000,7.815000,7.900000,0.430647,1582540
2000-02-10,7.815000,8.100000,7.800000,8.000000,0.436098,1224540
2000-02-11,8.025000,8.040000,7.895000,7.900000,0.430647,3047090
2000-02-14,8.090000,8.200000,7.880000,7.880000,0.429557,1600170
2000-02-15,7.805000,7.890000,7.625000,7.710000,0.420290,620750
2000-02-16,7.700000,8.325000,7.700000,8.325000,0.453815,2021550
2000-02-17,8.200000,8.400000,8.175000,8.300000,0.452452,1435900
2000-02-18,8.400000,8.500000,7.910000,7.910000,0.431192,1732710
2000-02-21,8.000000,8.000000,7.755000,7.800000,0.425196,357900
2000-02-22,7.725000,8.350000,7.700000,8.350000,0.455178,1260860
2000-02-23,8.200000,8.375000,8.160000,8.300000,0.452452,1461850
2000-02-24,8.260000,8.390000,8.225000,8.350000,0.455178,1649340
2000-02-25,8.220000,8.480000,8.100000,8.280000,0.451362,1780650
2000-02-28,8.345000,8.940000,8.300000,8.940000,0.487340,1940300
2000-02-29,9.375000,9.400000,8.225000,8.225000,0.448364,3215820
2000-03-01,8.500000,8.610000,7.900000,8.100000,0.441549,1963130
2000-03-02,8.100000,8.150000,7.460000,7.575000,0.412931,1252400
2000-03-03,7.505000,7.600000,6.970000,7.500000,0.408842,1646840
2000-03-06,7.980000,8.095000,7.560000,7.560000,0.412113,1384160
2000-03-07,7.500000,8.100000,7.175000,7.850000,0.427921,1251540
2000-03-08,7.950000,8.090000,7.225000,7.225000,0.393851,1295880
2000-03-09,7.100000,7.200000,7.000000,7.110000,0.387582,533740
2000-03-10,7.200000,7.300000,6.850000,6.850000,0.373409,964530
2000-03-13,6.630000,6.925000,6.500000,6.600000,0.359781,291020
2000-03-14,6.530000,6.850000,6.455000,6.795000,0.370411,898960
2000-03-15,6.745000,6.980000,6.745000,6.800000,0.370684,412920
2000-03-16,6.725000,6.800000,6.625000,6.775000,0.369321,462850
2000-03-17,null,null,null,null,null,null
2000-03-20,null,null,null,null,null,null
2000-03-21,6.800000,6.850000,6.675000,6.700000,0.365232,521010
2000-03-22,6.750000,7.000000,6.705000,6.850000,0.373409,390030
2000-03-23,6.870000,6.900000,6.620000,6.720000,0.366323,446570
2000-03-24,6.635000,6.700000,6.500000,6.550000,0.357055,422690
2000-03-27,6.680000,6.780000,6.640000,6.680000,0.364142,295260
2000-03-28,6.600000,6.675000,6.400000,6.500000,0.354330,763170
2000-03-29,6.550000,6.600000,6.465000,6.505000,0.354602,442670
2000-03-30,6.500000,6.990000,6.470000,6.850000,0.373409,891290
2000-03-31,6.800000,6.840000,6.650000,6.725000,0.366595,865000
2000-04-03,6.850000,7.050000,6.700000,6.900000,0.376135,1319710
2000-04-04,6.990000,6.990000,6.600000,6.685000,0.364415,1301260
2000-04-05,6.735000,6.750000,6.500000,6.600000,0.359781,925160
2000-04-06,6.625000,6.700000,6.360000,6.550000,0.357055,1128170
2000-04-07,6.600000,6.850000,6.600000,6.750000,0.367958,2073290
2000-04-10,6.745000,6.745000,6.300000,6.300000,0.343427,1213480
2000-04-11,6.280000,6.470000,6.200000,6.250000,0.340702,456910
2000-04-12,6.290000,6.300000,6.200000,6.240000,0.340157,167160
2000-04-13,6.225000,6.225000,6.000000,6.050000,0.329799,1356630
